n_station;ad_station;code_insee;Xlongitude;Ylatitude
Complex sportif;4-12 Voie du tram;90022;6.85294;47.55742
Complex sportif;4-12 Voie du tram;90022;6.85294;47.55742
Complex sportif;4-12 Voie du tram;90022;6.85294;47.55742
Complex sportif;4-12 Voie du tram;90022;6.85294;47.55742
Place de la résistance;place de la résistance;90010;6.853554;47.641459
Parking de la roseraie;25 Avenue d'Alsace;90010;6.84920;47.64969
Parking Rue Morimont;8 Rue de la Cavalerie;90010;6.86112;47.64130
Parking Rue Morimont;8 Rue de la Cavalerie;90010;6.86112;47.64130
Parking Rue Morimont;8 Rue de la Cavalerie;90010;6.86112;47.64130
place de la République;place de la République;90010;6.86137;47.63905
place de la République;place de la République;90010;6.86137;47.63905
Place de la résistance;place de la résistance;90010;6.853554;47.641459
Parking Général Electrique;24 Avenue du Maréchal Juin;90010;6.84058;47.64491
Parking Rue Morimont;8 Rue de la Cavalerie;90010;6.86112;47.64130
Place de la résistance;place de la résistance;90010;6.853426;47.641452
Parking Général Electrique;24 Avenue du Maréchal Juin;90010;6.84058;47.64491
Parking de la roseraie;25 Avenue d'Alsace;90010;6.84920;47.64969
Parking Général Electrique;24 Avenue du Maréchal Juin;90010;6.84058;47.64491
Place de la résistance;place de la résistance;90010;6.853426;47.641452
place de la République;place de la République;90010;6.86137;47.63905
Parking de la roseraie;25 Avenue d'Alsace;90010;6.84920;47.64969
Parking de la roseraie;25 Avenue d'Alsace;90010;6.84920;47.64969
Parking Général Electrique;24 Avenue du Maréchal Juin;90010;6.84058;47.64491
place de la République;place de la République;90010;6.86137;47.63905
VINCELLES_23 Rue De l'Yonne;23 Rue De l'Yonne 89290 VINCELLES;89478;3.63387153;47.70402731
VINCELLES_23 Rue De l'Yonne;23 Rue De l'Yonne 89290 VINCELLES;89478;3.63387153;47.70402731
Parking;3 Place de la liberte - VILLENEUVE L'ARCHEQUE;89461;3.5574655604;48.2339755774
Parking;3 Place de la liberte - VILLENEUVE L'ARCHEQUE;89461;3.5574655604;48.2339755774
VILLENEUVE L ARCHEVEQUE_Place de la Mairie;Place de la Mairie 89190 VILLENEUVE L ARCHEVEQUE;89461;3.55744330;48.23396070
VILLENEUVE L ARCHEVEQUE_Place de la Mairie;Place de la Mairie 89190 VILLENEUVE L ARCHEVEQUE;89461;3.55744330;48.23396070
VILLENEUVE LA GUYARD_8  Rue De La Vallee;8  Rue De La Vallee 89340 VILLENEUVE LA GUYARD;89460;3.06671977;48.34022524
VILLENEUVE LA GUYARD_8  Rue De La Vallee;8  Rue De La Vallee 89340 VILLENEUVE LA GUYARD;89460;3.06671977;48.34022524
Parking;2 rue des Vignes - VILLENEUVE LA DONDAGRE;89459;3.136030703;48.1387732984
VILLENEUVE LA DONDAGRE_Rue des Vignes;Rue des Vignes 89150 VILLENEUVE LA DONDAGRE;89459;3.13605030;48.13878330
VILLENEUVE LA DONDAGRE_Rue des Vignes;Rue des Vignes 89150 VILLENEUVE LA DONDAGRE;89459;3.13605030;48.13878330
VILLENEUVE LA DONDAGRE_Rue des Vignes;Rue des Vignes 89150 VILLENEUVE LA DONDAGRE;89459;3.13605030;48.13878330
Place;Place de la mairie - VILLEBLEVIN;89449;3.0821769288;48.3240222997
